"DATE","TIME PERIOD","Government debt held by central bank (GFS.A.N.FR.W2.S13.S121.C.L.LE.GD.T._Z.XDC._T.F.V.N._T)"
"1995-12-31","1995","18481"
"1996-12-31","1996","19614"
"1997-12-31","1997","19184"
"1998-12-31","1998","20259"
"1999-12-31","1999","21117"
"2000-12-31","2000","21607"
"2001-12-31","2001","21955"
"2002-12-31","2002","21710"
"2003-12-31","2003","23218"
"2004-12-31","2004","25280"
"2005-12-31","2005","27217"
"2006-12-31","2006","28481"
"2007-12-31","2007","29589"
"2008-12-31","2008","30840"
"2009-12-31","2009","33112"
"2010-12-31","2010","36425"
"2011-12-31","2011","39661"
"2012-12-31","2012","44580"
"2013-12-31","2013","42944"
"2014-12-31","2014","42105"
"2015-12-31","2015","114974"
"2016-12-31","2016","220879"
"2017-12-31","2017","320454"
"2018-12-31","2018","359907"
"2019-12-31","2019","353757"
"2020-12-31","2020","473776"
"2021-12-31","2021","614007"
"2022-12-31","2022","674225"
"2023-12-31","2023","661690"
"2024-12-31","2024","640463"
