"DATE","TIME PERIOD","Government debt held by central bank (GFS.A.N.DE.W2.S13.S121.C.L.LE.GD.T._Z.XDC._T.F.V.N._T)"
"1991-12-31","1991","12692"
"1992-12-31","1992","16024"
"1993-12-31","1993","13380"
"1994-12-31","1994","12787"
"1995-12-31","1995","11812"
"1996-12-31","1996","11462"
"1997-12-31","1997","11277"
"1998-12-31","1998","11273"
"1999-12-31","1999","11354"
"2000-12-31","2000","11376"
"2001-12-31","2001","9665"
"2002-12-31","2002","8425"
"2003-12-31","2003","9090"
"2004-12-31","2004","9430"
"2005-12-31","2005","9686"
"2006-12-31","2006","10093"
"2007-12-31","2007","10494"
"2008-12-31","2008","10809"
"2009-12-31","2009","11162"
"2010-12-31","2010","11491"
"2011-12-31","2011","11785"
"2012-12-31","2012","12125"
"2013-12-31","2013","12438"
"2014-12-31","2014","12774"
"2015-12-31","2015","85952"
"2016-12-31","2016","205391"
"2017-12-31","2017","319159"
"2018-12-31","2018","364731"
"2019-12-31","2019","366562"
"2020-12-31","2020","522392"
"2021-12-31","2021","716004"
"2022-12-31","2022","742514"
"2023-12-31","2023","696287"
"2024-12-31","2024","633608"
