"DATE","TIME PERIOD","Government debt held by central bank (GFS.A.N.IT.W2.S13.S121.C.L.LE.GD.T._Z.XDC._T.F.V.N._T)"
"1995-12-31","1995","106410"
"1996-12-31","1996","89419"
"1997-12-31","1997","81168"
"1998-12-31","1998","65007"
"1999-12-31","1999","60700"
"2000-12-31","2000","63795"
"2001-12-31","2001","65502"
"2002-12-31","2002","43310"
"2003-12-31","2003","51562"
"2004-12-31","2004","56652"
"2005-12-31","2005","62024"
"2006-12-31","2006","66011"
"2007-12-31","2007","63768"
"2008-12-31","2008","62066"
"2009-12-31","2009","64902"
"2010-12-31","2010","70092"
"2011-12-31","2011","93916"
"2012-12-31","2012","101258"
"2013-12-31","2013","104196"
"2014-12-31","2014","106747"
"2015-12-31","2015","170078"
"2016-12-31","2016","273514"
"2017-12-31","2017","369286"
"2018-12-31","2018","403607"
"2019-12-31","2019","405514"
"2020-12-31","2020","556180"
"2021-12-31","2021","676721"
"2022-12-31","2022","721051"
"2023-12-31","2023","695548"
"2024-12-31","2024","642130"
